Dimension,Geometry,Filament
0.14500,15.00000,ABS
0.14100,15.00000,ABS
0.16700,15.00000,ABS
0.16000,15.00000,ABS
0.14400,15.00000,ABS
0.12900,15.00000,ABS
0.13400,15.00000,ABS
0.19700,15.00000,ABS
0.14300,15.00000,ABS
0.15400,15.00000,ABS
0.15800,15.00000,ABS
0.15500,15.00000,ABS
0.16900,15.00000,ABS
0.135,10.00000,ABS
0.145,10.00000,ABS
0.108,10.00000,ABS
0.162,10.00000,ABS
0.112,10.00000,ABS
0.135,10.00000,ABS
0.145,10.00000,ABS
0.137,10.00000,ABS
0.122,10.00000,ABS
0.105,10.00000,ABS
0.103,10.00000,ABS
0.159,10.00000,ABS
0.135,10.00000,ABS
0.122,10.00000,ABS
0.159,10.00000,ABS
0.149,10.00000,ABS
0.203,12.50000,ABS
0.261,12.50000,ABS
0.245,12.50000,ABS
0.259,12.50000,ABS
0.146,12.50000,ABS
0.183,12.50000,ABS
0.177,12.50000,ABS
0.27,12.50000,ABS
0.173,12.50000,ABS
0.275,12.50000,ABS
0.321,12.50000,ABS
0.313,12.50000,ABS
0.212,12.50000,ABS
0.203,12.50000,ABS
0.221,12.50000,ABS
0.212,12.50000,ABS
0.088,10.00000,ABS
0.121,10.00000,ABS
0.117,10.00000,ABS
0.147,10.00000,ABS
0.123,10.00000,ABS
0.155,10.00000,ABS
0.17,10.00000,ABS
0.141,10.00000,ABS
0.137,10.00000,ABS
0.093,10.00000,ABS
0.128,10.00000,ABS
0.131,10.00000,ABS
0.132,10.00000,ABS
0.147,10.00000,ABS
0.131,10.00000,ABS
0.146,10.00000,ABS
0.078,7.5,ABS
0.108,7.5,ABS
0.124,7.5,ABS
0.148,7.5,ABS
0.104,7.5,ABS
0.083,7.5,ABS
0.102,7.5,ABS
0.133,7.5,ABS
0.091,7.5,ABS
0.09,7.5,ABS
0.088,7.5,ABS
0.104,7.5,ABS
0.097,7.5,ABS
0.081,7.5,ABS
0.102,7.5,ABS
0.154,7.5,ABS
0.08,5,ABS
0.094,5,ABS
0.102,5,ABS
0.121,5,ABS
0.083,5,ABS
0.071,5,ABS
0.095,5,ABS
0.091,5,ABS
0.092,5,ABS
0.105,5,ABS
0.101,5,ABS
0.11,5,ABS
0.076,5,ABS
0.095,5,ABS
0.106,5,ABS
0.109,5,ABS
0.18100,25,PLA
0.24300,25,PLA
0.26500,25,PLA
0.19500,25,PLA
0.229,25,PLA
0.199,25,PLA
0.236,25,PLA
0.22,25,PLA
0.13000,25,PLA
0.16000,25,PLA
0.18500,25,PLA
0.20300,25,PLA
0.142,25,PLA
0.167,25,PLA
0.19,25,PLA
0.275,25,PLA
0.15500,20,PLA
0.15400,20,PLA
0.15600,20,PLA
0.19400,20,PLA
0.19000,20,PLA
0.18500,20,PLA
0.20100,20,PLA
0.17900,20,PLA
0.18700,20,PLA
0.15600,20,PLA
0.13200,20,PLA
0.12400,20,PLA
0.15600,20,PLA
0.14100,20,PLA
0.14600,20,PLA
0.14500,20,PLA
0.12700,15,PLA
0.11800,15,PLA
0.15300,15,PLA
0.15500,15,PLA
0.15000,15,PLA
0.15600,15,PLA
0.21200,15,PLA
0.13700,15,PLA
0.11500,15,PLA
0.14600,15,PLA
0.12900,15,PLA
0.10700,15,PLA
0.14000,15,PLA
0.15200,15,PLA
0.17100,15,PLA
0.15800,15,PLA
0.068,10,PLA
0.082,10,PLA
0.088,10,PLA
0.115,10,PLA
0.101,10,PLA
0.089,10,PLA
0.101,10,PLA
0.104,10,PLA
0.092,10,PLA
0.14,10,PLA
0.097,10,PLA
0.126,10,PLA
0.126,10,PLA
0.095,10,PLA
0.101,10,PLA
0.121,10,PLA
0.067,12.5,PLA
0.077,12.5,PLA
0.014,12.5,PLA
0.023,12.5,PLA
0.21,12.5,PLA
0.086,12.5,PLA
0.107,12.5,PLA
0.106,12.5,PLA
0.073,12.5,PLA
0.086,12.5,PLA
0.087,12.5,PLA
0.105,12.5,PLA
0.081,12.5,PLA
0.096,12.5,PLA
0.08,12.5,PLA
0.063,12.5,PLA
0.037,10,PLA
0.035,10,PLA
0.068,10,PLA
0.083,10,PLA
0.102,10,PLA
0.091,10,PLA
0.112,10,PLA
0.086,10,PLA
0.078,10,PLA
0.086,10,PLA
0.089,10,PLA
0.078,10,PLA
0.118,10,PLA
0.117,10,PLA
0.102,10,PLA
0.118,10,PLA
0.05,7.5,PLA
0.066,7.5,PLA
0.062,7.5,PLA
0.07,7.5,PLA
0.055,7.5,PLA
0.078,7.5,PLA
0.064,7.5,PLA
0.061,7.5,PLA
0.069,7.5,PLA
0.088,7.5,PLA
0.072,7.5,PLA
0.092,7.5,PLA
0.073,7.5,PLA
0.066,7.5,PLA
0.052,7.5,PLA
0.09,7.5,PLA
0.042,5,PLA
0.064,5,PLA
0.052,5,PLA
0.033,5,PLA
0.051,5,PLA
0.064,5,PLA
0.058,5,PLA
0.057,5,PLA
0.029,5,PLA
0.034,5,PLA
0.037,5,PLA
0.051,5,PLA
0.052,5,PLA
0.063,5,PLA
0.061,5,PLA
0.084,5,PLA
